Sequence	KO
Spencermartinsiella_europaea_34605_x_lcl_NODE_35_length_134487_cov_28.4228_ID_69_33981_35105_lcl_NODE_35_length_134487_cov_28.4228_ID_69_33981_35105_ORF713_NODE_35_length_134487_cov_28.4228_ID_69_33980_35104	K17743
Sporopachydermia_lactativora_34604_x_lcl_NODE_108_length_50177_cov_35.5015_ID_215_26739_27806_lcl_NODE_108_length_50177_cov_35.5015_ID_215_26739_27806_ORF259_NODE_108_length_50177_cov_35.5015_ID_215_26738_27805	K17743
Sporopachydermia_lactativora_34604_x_lcl_NODE_149_length_30729_cov_50.9773_ID_297_22194_23168_lcl_NODE_149_length_30729_cov_50.9773_ID_297_22194_23168_ORF173_NODE_149_length_30729_cov_50.9773_ID_297_22193_23167	K17743
Sporopachydermia_lactativora_34604_x_lcl_NODE_155_length_29692_cov_48.7379_ID_309_20611_21612_lcl_NODE_155_length_29692_cov_48.7379_ID_309_20611_21612_ORF45_NODE_155_length_29692_cov_48.7379_ID_309_20610_21611	K17743
Sporopachydermia_lactativora_34604_x_lcl_NODE_22_length_148056_cov_28.3308_ID_43_c60053_59088_lcl_NODE_22_length_148056_cov_28.3308_ID_43_c60053_59088_ORF1406_NODE_22_length_148056_cov_28.3308_ID_43_60052_59087	K17743
Sporopachydermia_quercuum_x_gi_1002316346_dbj_BCGN01000007.1_c1468_506_gi_1002316346_dbj_BCGN01000007.1_c1468_506_ORF9713_1002316346_1467_505	K17743
Sporopachydermia_quercuum_x_gi_1002316351_dbj_BCGN01000002.1_1271237_1272193_gi_1002316351_dbj_BCGN01000002.1_1271237_1272193_ORF6283_1002316351_1271236_1272192	K17743
Sporopachydermia_quercuum_x_gi_1002316352_dbj_BCGN01000001.1_1255856_1256827_gi_1002316352_dbj_BCGN01000001.1_1255856_1256827_ORF6595_1002316352_1255855_1256826	K17743
Starmera_amethionina_35658_x_lcl_flattened_line_196_c17820_16837_lcl_flattened_line_196_c17820_16837_ORF222_flattened_line_196_17819_16836	K17743
Starmera_quercuum_34594_x_lcl_flattened_line_11_364747_365730_lcl_flattened_line_11_364747_365730_ORF737_flattened_line_11_364746_365729	K17743
Sugiyamaella_lignohabitans_x_lcl_CP014503.1_3407965_3408936_lcl_CP014503.1_3407965_3408936_ORF7340_CP014503.1_3407964_3408935	K17743
Tortispora_caseinolytica_x_lcl_scaffold_1_c1993633_1992641_lcl_scaffold_1_c1993633_1992641_ORF34310_scaffold_1_1993632_1992640	K17743
Tortispora_ganteri_35654_x_lcl_flattened_line_10_c207275_206301_lcl_flattened_line_10_c207275_206301_ORF3998_flattened_line_10_207274_206300	K17743
Tortispora_starmeri_35279_x_lcl_NODE_5_length_385981_cov_13.3379_ID_9389_c136873_135866_lcl_NODE_5_length_385981_cov_13.3379_ID_9389_c136873_135866_ORF2695_NODE_5_length_385981_cov_13.3379_ID_9389_136872_135865	K17743
Wickerhamomyces_alni_35274_x_lcl_NODE_23_length_158662_cov_14.2458_ID_5533_69570_70547_lcl_NODE_23_length_158662_cov_14.2458_ID_5533_69570_70547_ORF748_NODE_23_length_158662_cov_14.2458_ID_5533_69569_70546	K17743
Wickerhamomyces_hampshirensis_35268_x_lcl_NODE_3_length_1364554_cov_21.9612_ID_3295_567707_568684_lcl_NODE_3_length_1364554_cov_21.9612_ID_3295_567707_568684_ORF3355_NODE_3_length_1364554_cov_21.9612_ID_3295_567706_568683	K17743
Yarrowia_bubula_35643_x_lcl_flattened_line_117_c3487_2537_lcl_flattened_line_117_c3487_2537_ORF1620_flattened_line_117_3486_2536	K17743
Yarrowia_deformans_x_gi_1002317488_dbj_BCIW01000001.1_1528851_1529828_gi_1002317488_dbj_BCIW01000001.1_1528851_1529828_ORF14419_1002317488_1528850_1529827	K17743
Yarrowia_divulgata_35645_x_lcl_flattened_line_39_207545_208495_lcl_flattened_line_39_207545_208495_ORF1069_flattened_line_39_207544_208494	K17743
Yarrowia_keelungensis_x_gi_1002317713_dbj_BCJD01000002.1_c2029047_2028097_gi_1002317713_dbj_BCJD01000002.1_c2029047_2028097_ORF23015_1002317713_2029046_2028096	K17743
Yarrowia_lipolytica_x_lcl_YALI0D_c986857_985862_lcl_YALI0D_c986857_985862_ORF40799_YALI0D_986856_985861	K17743
Zygoascus_meyerae_35243_x_lcl_NODE_3_length_863959_cov_18.7832_ID_1457_c529980_529018_lcl_NODE_3_length_863959_cov_18.7832_ID_1457_c529980_529018_ORF8127_NODE_3_length_863959_cov_18.7832_ID_1457_529979_529017	K17743
Zygoascus_ofunaensis_35242_x_lcl_NODE_7_length_719086_cov_18.6268_ID_7498_417829_418884_lcl_NODE_7_length_719086_cov_18.6268_ID_7498_417829_418884_ORF881_NODE_7_length_719086_cov_18.6268_ID_7498_417828_418883	K17743
Sporopachydermia_quercuum_x_gi_1002316345_dbj_BCGN01000008.1_1296986_1297333_gi_1002316345_dbj_BCGN01000008.1_1296986_1297333_ORF4543_1002316345_1296985_1297332	K17743
Aciculoconidium_aculeatum_34654_x_lcl_NODE_52_length_101915_cov_36.2178_ID_103_c93005_92046_lcl_NODE_52_length_101915_cov_36.2178_ID_103_c93005_92046_ORF638_NODE_52_length_101915_cov_36.2178_ID_103_93004_92045	K17743
Ambrosiozyma_ambrosiae_26137_x_lcl_flattened_line_80_24872_25909_lcl_flattened_line_80_24872_25909_ORF192_flattened_line_80_24871_25908	K17743
Ambrosiozyma_kashinagacola_x_gi_1002316251_dbj_BCGA01000006.1_286574_287530_gi_1002316251_dbj_BCGA01000006.1_286574_287530_ORF1841_1002316251_286573_287529	K17743
Ambrosiozyma_maleeae_35040_x_lcl_NODE_8_length_556485_cov_39.8289_ID_15_73206_74162_lcl_NODE_8_length_556485_cov_39.8289_ID_15_73206_74162_ORF2439_NODE_8_length_556485_cov_39.8289_ID_15_73205_74161	K17743
Ambrosiozyma_monospora_x_gi_1002318501_dbj_BCIP01000060.1_9432_10397_gi_1002318501_dbj_BCIP01000060.1_9432_10397_ORF297_1002318501_9431_10396	K17743
Ambrosiozyma_monospora_x_gi_1002318547_dbj_BCIP01000014.1_570288_571253_gi_1002318547_dbj_BCIP01000014.1_570288_571253_ORF3871_1002318547_570287_571252	K17743
Ambrosiozyma_oregonensis_34946_x_lcl_NODE_29_length_182628_cov_72.764_ID_57_142508_143482_lcl_NODE_29_length_182628_cov_72.764_ID_57_142508_143482_ORF472_NODE_29_length_182628_cov_72.764_ID_57_142507_143481	K17743
Ambrosiozyma_oregonensis_34946_x_lcl_NODE_63_length_50841_cov_125.583_ID_125_49335_50297_lcl_NODE_63_length_50841_cov_125.583_ID_125_49335_50297_ORF252_NODE_63_length_50841_cov_125.583_ID_125_49334_50296	K17743
Ambrosiozyma_philentoma_34947_x_lcl_NODE_47_length_83848_cov_52.5765_ID_93_81448_82407_lcl_NODE_47_length_83848_cov_52.5765_ID_93_81448_82407_ORF134_NODE_47_length_83848_cov_52.5765_ID_93_81447_82406	K17743
Ambrosiozyma_philentoma_34947_x_lcl_NODE_9_length_617110_cov_37.3077_ID_17_c557227_556175_lcl_NODE_9_length_617110_cov_37.3077_ID_17_c557227_556175_ORF2987_NODE_9_length_617110_cov_37.3077_ID_17_557226_556174	K17743
Ambrosiozyma_pseudovanderkliftii_35041_x_lcl_NODE_18_length_245309_cov_86.3428_ID_35_c7972_7016_lcl_NODE_18_length_245309_cov_86.3428_ID_35_c7972_7016_ORF2364_NODE_18_length_245309_cov_86.3428_ID_35_7971_7015	K17743
Ambrosiozyma_pseudovanderkliftii_35041_x_lcl_NODE_28_length_204558_cov_67.4894_ID_55_56009_57037_lcl_NODE_28_length_204558_cov_67.4894_ID_55_56009_57037_ORF505_NODE_28_length_204558_cov_67.4894_ID_55_56008_57036	K17743
Ambrosiozyma_vanderkliftii_26145_x_lcl_flattened_line_154_c28314_27352_lcl_flattened_line_154_c28314_27352_ORF676_flattened_line_154_28313_27351	K17743
Ascoidea_asiatica_x_gi_1002316733_dbj_BCKQ01000003.1_1225461_1226438_gi_1002316733_dbj_BCKQ01000003.1_1225461_1226438_ORF7294_1002316733_1225460_1226437	K17743
Ascoidea_rubescens_x_lcl_scaffold_1_c45819_44785_lcl_scaffold_1_c45819_44785_ORF29228_scaffold_1_45818_44784	K17743
Ashbya_aceri_x_lcl_CP006025.1_1178323_1179354_lcl_CP006025.1_1178323_1179354_ORF2577_CP006025.1_1178322_1179353	K17743
Babjeviella_inositovora_x_lcl_scaffold_13_412465_413466_lcl_scaffold_13_412465_413466_ORF821_scaffold_13_412464_413465	K17743
Barnettozyma_californica_35044_x_lcl_flattened_line_14_c263943_262978_lcl_flattened_line_14_c263943_262978_ORF5225_flattened_line_14_263942_262977	K17743
Barnettozyma_californica_35044_x_lcl_flattened_line_60_85960_86544_lcl_flattened_line_60_85960_86544_ORF187_flattened_line_60_85959_86543	K17743
Barnettozyma_californica_35044_x_lcl_flattened_line_98_c5604_4645_lcl_flattened_line_98_c5604_4645_ORF247_flattened_line_98_5603_4644	K17743
Barnettozyma_hawaiiensis_35045_x_lcl_flattened_line_120_c2383_1397_lcl_flattened_line_120_c2383_1397_ORF194_flattened_line_120_2382_1396	K17743
Barnettozyma_hawaiiensis_35045_x_lcl_flattened_line_2_123660_124661_lcl_flattened_line_2_123660_124661_ORF2423_flattened_line_2_123659_124660	K17743
Barnettozyma_populi_35046_x_lcl_NODE_19_length_174291_cov_14.3692_ID_15306_101340_101600_lcl_NODE_19_length_174291_cov_14.3692_ID_15306_101340_101600_ORF1037_NODE_19_length_174291_cov_14.3692_ID_15306_101339_101599	K17743
Barnettozyma_populi_35046_x_lcl_NODE_19_length_174291_cov_14.3692_ID_15306_c95699_94740_lcl_NODE_19_length_174291_cov_14.3692_ID_15306_c95699_94740_ORF1745_NODE_19_length_174291_cov_14.3692_ID_15306_95698_94739	K17743
Barnettozyma_populi_35046_x_lcl_NODE_2_length_837960_cov_13.6015_ID_4467_690646_691611_lcl_NODE_2_length_837960_cov_13.6015_ID_4467_690646_691611_ORF1532_NODE_2_length_837960_cov_13.6015_ID_4467_690645_691610	K17743
Barnettozyma_pratensis_35047_x_lcl_flattened_line_6_c370931_369849_lcl_flattened_line_6_c370931_369849_ORF3549_flattened_line_6_370930_369848	K17743
Barnettozyma_salicaria_35048_x_lcl_flattened_line_33_63335_64300_lcl_flattened_line_33_63335_64300_ORF517_flattened_line_33_63334_64299	K17743
Barnettozyma_salicaria_35048_x_lcl_flattened_line_5_55968_56927_lcl_flattened_line_5_55968_56927_ORF3336_flattened_line_5_55967_56926	K17743
Brettanomyces_anomalus_x_lcl_LCTY01000011.1_391766_392800_lcl_LCTY01000011.1_391766_392800_ORF1749_LCTY01000011.1_391765_392799	K17743
Brettanomyces_custersianus_26197_x_lcl_flattened_line_10_c4945_3965_lcl_flattened_line_10_c4945_3965_ORF4699_flattened_line_10_4944_3964	K17743
Candida_albicans_x_lcl_Ca22chr5A_C_albicans_SC5314_c650900_649785_lcl_Ca22chr5A_C_albicans_SC5314_c650900_649785_ORF11528_Ca22chr5A_C_albicans_SC5314_650899_649784	K17743
Candida_arabinofermentans_x_lcl_scaffold_20_c57965_56964_lcl_scaffold_20_c57965_56964_ORF1181_scaffold_20_57964_56963	K17743
Candida_ascalaphidarum_41855_x_lcl_NODE_12_length_437675_cov_47.0709_ID_5986_c94078_93104_lcl_NODE_12_length_437675_cov_47.0709_ID_5986_c94078_93104_ORF4695_NODE_12_length_437675_cov_47.0709_ID_5986_94077_93103	K17743
Candida_athensensis_34632_x_lcl_NODE_7_length_686466_cov_12.8236_ID_13_504861_505814_lcl_NODE_7_length_686466_cov_12.8236_ID_13_504861_505814_ORF4045_NODE_7_length_686466_cov_12.8236_ID_13_504860_505813	K17743
Candida_auris_x_lcl_LGST01000019.1_30495_31451_lcl_LGST01000019.1_30495_31451_ORF1189_LGST01000019.1_30494_31450	K17743
Candida_azyma_35286_x_lcl_NODE_21_length_209321_cov_12.3293_ID_3016_174547_175551_lcl_NODE_21_length_209321_cov_12.3293_ID_3016_174547_175551_ORF322_NODE_21_length_209321_cov_12.3293_ID_3016_174546_175550	K17743
Candida_blattae_35335_x_lcl_NODE_1_length_1351318_cov_29.0491_ID_2023_1318668_1319657_lcl_NODE_1_length_1351318_cov_29.0491_ID_2023_1318668_1319657_ORF9098_NODE_1_length_1351318_cov_29.0491_ID_2023_1318667_1319656	K17743
Candida_blattae_35335_x_lcl_NODE_9_length_485867_cov_26.3769_ID_2296_c468541_467525_lcl_NODE_9_length_485867_cov_26.3769_ID_2296_c468541_467525_ORF4426_NODE_9_length_485867_cov_26.3769_ID_2296_468540_467524	K17743
Candida_boidinii_JCM9604_x_gi_1002316614_dbj_BCGP01000006.1_279065_280030_gi_1002316614_dbj_BCGP01000006.1_279065_280030_ORF1712_1002316614_279064_280029	K17743
Candida_canberraensis_35018_x_lcl_NODE_1_length_1418990_cov_15.6188_ID_1_c1073627_1072488_lcl_NODE_1_length_1418990_cov_15.6188_ID_1_c1073627_1072488_ORF9236_NODE_1_length_1418990_cov_15.6188_ID_1_1073626_1072487	K17743
Candida_carpophila_x_gi_1002316126_dbj_BCGK01000004.1_c928527_927460_gi_1002316126_dbj_BCGK01000004.1_c928527_927460_ORF9824_1002316126_928526_927459	K17743
Candida_carpophila_x_gi_1002316129_dbj_BCGK01000001.1_c1901163_1900210_gi_1002316129_dbj_BCGK01000001.1_c1901163_1900210_ORF17002_1002316129_1901162_1900209	K17743
Candida_corydali_34990_x_lcl_flattened_line_43_c91734_90775_lcl_flattened_line_43_c91734_90775_ORF1431_flattened_line_43_91733_90774	K17743
Candida_cretensis_35033_x_lcl_NODE_1_length_1718446_cov_29.5161_ID_1_c882286_881117_lcl_NODE_1_length_1718446_cov_29.5161_ID_1_c882286_881117_ORF12744_NODE_1_length_1718446_cov_29.5161_ID_1_882285_881116	K17743
Candida_dubliniensis_x_lcl_NC_012864.1_c673392_672235_lcl_NC_012864.1_c673392_672235_ORF12246_NC_012864.1_673391_672234	K17743
Candida_emberorum_35022_x_lcl_NODE_4_length_917787_cov_18.057_ID_7_c112222_111269_lcl_NODE_4_length_917787_cov_18.057_ID_7_c112222_111269_ORF11230_NODE_4_length_917787_cov_18.057_ID_7_112221_111268	K17743
Candida_fragi_35302_x_lcl_flattened_line_20_c174269_173268_lcl_flattened_line_20_c174269_173268_ORF2273_flattened_line_20_174268_173267	K17743
Candida_freyschussii_34967_x_lcl_flattened_line_52_34809_35810_lcl_flattened_line_52_34809_35810_ORF351_flattened_line_52_34808_35809	K17743
Candida_fructus_34988_x_lcl_flattened_line_117_34172_35278_lcl_flattened_line_117_34172_35278_ORF174_flattened_line_117_34171_35277	K17743
Candida_gatunensis_35032_x_lcl_NODE_3_length_787651_cov_25.538_ID_5_c376405_375341_lcl_NODE_3_length_787651_cov_25.538_ID_5_c376405_375341_ORF5777_NODE_3_length_787651_cov_25.538_ID_5_376404_375340	K17743
Candida_glabrata_x_lcl_CR380955_93934_94914_lcl_CR380955_93934_94914_ORF195_CR380955_93933_94913	K17743
Candida_golubevii_41862_x_lcl_flattened_line_10_c213569_212613_lcl_flattened_line_10_c213569_212613_ORF2687_flattened_line_10_213568_212612	K17743
Candida_gorgasii_41863_x_lcl_NODE_6_length_815919_cov_23.048_ID_1693_568784_569767_lcl_NODE_6_length_815919_cov_23.048_ID_1693_568784_569767_ORF2294_NODE_6_length_815919_cov_23.048_ID_1693_568783_569766	K17743
Candida_gotoi_35681_x_lcl_NODE_3_length_842064_cov_74.5486_ID_5_654940_655893_lcl_NODE_3_length_842064_cov_74.5486_ID_5_654940_655893_ORF1252_NODE_3_length_842064_cov_74.5486_ID_5_654939_655892	K17743
Candida_hawaiiana_41743_x_lcl_flattened_line_12_c302330_301374_lcl_flattened_line_12_c302330_301374_ORF4734_flattened_line_12_302329_301373	K17743
Candida_heveicola_35707_x_lcl_flattened_line_12_320919_321875_lcl_flattened_line_12_320919_321875_ORF4031_flattened_line_12_320918_321874	K17743
Candida_homilentoma_x_gi_1002316230_dbj_BCGB01000003.1_c1199028_1198075_gi_1002316230_dbj_BCGB01000003.1_c1199028_1198075_ORF17093_1002316230_1199027_1198074	K17743
Candida_intermedia_x_gi_1002316277_dbj_BCGD01000006.1_1187247_1188194_gi_1002316277_dbj_BCGD01000006.1_1187247_1188194_ORF8134_1002316277_1187246_1188193	K17743
Candida_intermedia_x_gi_1002316281_dbj_BCGD01000002.1_c135952_134996_gi_1002316281_dbj_BCGD01000002.1_c135952_134996_ORF18500_1002316281_135951_134995	K17743
Candida_intermedia_x_gi_1002316282_dbj_BCGD01000001.1_954374_955330_gi_1002316282_dbj_BCGD01000001.1_954374_955330_ORF7159_1002316282_954373_955329	K17743
Candida_kruisii_35031_x_lcl_flattened_line_78_3197_4144_lcl_flattened_line_78_3197_4144_ORF255_flattened_line_78_3196_4143	K17743
Candida_montana_35037_x_lcl_NODE_14_length_316299_cov_39.3557_ID_27_3221_4180_lcl_NODE_14_length_316299_cov_39.3557_ID_27_3221_4180_ORF589_NODE_14_length_316299_cov_39.3557_ID_27_3220_4179	K17743
Candida_montana_35037_x_lcl_NODE_23_length_147361_cov_47.2581_ID_45_32191_33156_lcl_NODE_23_length_147361_cov_47.2581_ID_45_32191_33156_ORF63_NODE_23_length_147361_cov_47.2581_ID_45_32190_33155	K17743
Candida_mycetangii_35689_x_lcl_NODE_10_length_472098_cov_26.9767_ID_2461_c399120_397954_lcl_NODE_10_length_472098_cov_26.9767_ID_2461_c399120_397954_ORF3086_NODE_10_length_472098_cov_26.9767_ID_2461_399119_397953	K17743
Candida_orba_35673_x_lcl_NODE_10_length_310917_cov_107.48_ID_4357_c288423_287410_lcl_NODE_10_length_310917_cov_107.48_ID_4357_c288423_287410_ORF1440_NODE_10_length_310917_cov_107.48_ID_4357_288422_287409	K17743
Candida_orba_35673_x_lcl_NODE_2_length_988990_cov_98.9605_ID_6788_c19826_18861_lcl_NODE_2_length_988990_cov_98.9605_ID_6788_c19826_18861_ORF8925_NODE_2_length_988990_cov_98.9605_ID_6788_19825_18860	K17743
Candida_oregonensis_34986_x_lcl_NODE_6_length_904599_cov_47.8862_ID_11_c690659_689703_lcl_NODE_6_length_904599_cov_47.8862_ID_11_c690659_689703_ORF8501_NODE_6_length_904599_cov_47.8862_ID_11_690658_689702	K17743
Candida_orthopsilosis_x_lcl_NC_018300.1_273306_274493_lcl_NC_018300.1_273306_274493_ORF4517_NC_018300.1_273305_274492	K17743
Candida_parapsilosis_x_lcl_Contig005569_271454_272539_lcl_Contig005569_271454_272539_ORF5176_Contig005569_271453_272538	K17743
Candida_ponderosae_35261_x_lcl_NODE_4_length_391868_cov_66.0008_ID_13828_c146072_145113_lcl_NODE_4_length_391868_cov_66.0008_ID_13828_c146072_145113_ORF2495_NODE_4_length_391868_cov_66.0008_ID_13828_146071_145112	K17743
Candida_pyralidae_35011_x_lcl_NODE_8_length_625582_cov_72.4763_ID_15_c441606_440647_lcl_NODE_8_length_625582_cov_72.4763_ID_15_c441606_440647_ORF5705_NODE_8_length_625582_cov_72.4763_ID_15_441605_440646	K17743
Candida_restingae_34648_x_lcl_NODE_2_length_1144711_cov_23.956_ID_3_c215880_214924_lcl_NODE_2_length_1144711_cov_23.956_ID_3_c215880_214924_ORF11601_NODE_2_length_1144711_cov_23.956_ID_3_215879_214923	K17743
Candida_rhagii_35679_x_lcl_NODE_6_length_723125_cov_44.3351_ID_1383_179444_180433_lcl_NODE_6_length_723125_cov_44.3351_ID_1383_179444_180433_ORF1745_NODE_6_length_723125_cov_44.3351_ID_1383_179443_180432	K17743
Candida_schatavii_34643_x_lcl_flattened_line_27_c205707_204757_lcl_flattened_line_27_c205707_204757_ORF2533_flattened_line_27_205706_204756	K17743
Candida_sorboxylosa_x_gi_1002316177_dbj_BCGC01000001.1_c103314_102361_gi_1002316177_dbj_BCGC01000001.1_c103314_102361_ORF25184_1002316177_103313_102360	K17743
Candida_stellimalicola_34597_x_lcl_flattened_line_30_c3369_2404_lcl_flattened_line_30_c3369_2404_ORF2325_flattened_line_30_3368_2403	K17743
Candida_succiphila_x_gi_1002316221_dbj_BCGL01000003.1_1154228_1155190_gi_1002316221_dbj_BCGL01000003.1_1154228_1155190_ORF5670_1002316221_1154227_1155189	K17743
Candida_tammaniensis_41833_x_lcl_NODE_7_length_799497_cov_58.68_ID_3495_c220360_219410_lcl_NODE_7_length_799497_cov_58.68_ID_3495_c220360_219410_ORF6949_NODE_7_length_799497_cov_58.68_ID_3495_220359_219409	K17743
Candida_tanzawaensis_x_lcl_scaffold_5_c904035_903082_lcl_scaffold_5_c904035_903082_ORF16217_scaffold_5_904034_903081	K17743
Candida_tenuis_x_lcl_scaffold_00021_1765166_1766119_lcl_scaffold_00021_1765166_1766119_ORF8825_scaffold_00021_1765165_1766118	K17743
Candida_tropicalis_x_lcl_NW_003020040.1_67659_68813_lcl_NW_003020040.1_67659_68813_ORF1551_NW_003020040.1_67658_68812	K17743
Candida_tropicalis_x_lcl_NW_003020040.1_c35733_34654_lcl_NW_003020040.1_c35733_34654_ORF4317_NW_003020040.1_35732_34653	K17743
Candida_vartiovaarae_35690_x_lcl_NODE_11_length_425465_cov_33.8237_ID_2463_c186152_185193_lcl_NODE_11_length_425465_cov_33.8237_ID_2463_c186152_185193_ORF3588_NODE_11_length_425465_cov_33.8237_ID_2463_186151_185192	K17743
Candida_wancherniae_41840_x_lcl_NODE_17_length_173294_cov_67.7439_ID_1487_c54548_53532_lcl_NODE_17_length_173294_cov_67.7439_ID_1487_c54548_53532_ORF1273_NODE_17_length_173294_cov_67.7439_ID_1487_54547_53531	K17743
Cephaloascus_albidus_34998_x_lcl_flattened_line_30_9109_10071_lcl_flattened_line_30_9109_10071_ORF16_flattened_line_30_9108_10070	K17743
Cephaloascus_fragrans_34999_x_lcl_NODE_10_length_360733_cov_12.93_ID_19_246507_247469_lcl_NODE_10_length_360733_cov_12.93_ID_19_246507_247469_ORF1781_NODE_10_length_360733_cov_12.93_ID_19_246506_247468	K17743
Citeromyces_hawaiiensis_34950_x_lcl_scf7180000030811_c5687_4653_lcl_scf7180000030811_c5687_4653_ORF108_scf7180000030811_5686_4652	K17743
Citeromyces_matritensis_26142_x_lcl_scf7180000042049_c16307_15345_lcl_scf7180000042049_c16307_15345_ORF288_scf7180000042049_16306_15344	K17743
Citeromyces_siamensis_34952_x_lcl_scf7180000053712_c21343_20387_lcl_scf7180000053712_c21343_20387_ORF504_scf7180000053712_21342_20386	K17743
Citeromyces_siamensis_34952_x_lcl_scf7180000060423_c2672_1677_lcl_scf7180000060423_c2672_1677_ORF75_scf7180000060423_2671_1676	K17743
Clavispora_lusitaniae_x_lcl_NW_003101578.1_c2284458_2283484_lcl_NW_003101578.1_c2284458_2283484_ORF16605_NW_003101578.1_2284457_2283483	K17743
Cyberlindnera_americana_35703_x_lcl_NODE_16_length_299054_cov_95.3201_ID_10579_c5562_4822_lcl_NODE_16_length_299054_cov_95.3201_ID_10579_c5562_4822_ORF3519_NODE_16_length_299054_cov_95.3201_ID_10579_5561_4821	K17743
Cyberlindnera_americana_35703_x_lcl_NODE_5_length_638838_cov_68.9705_ID_2404_c196785_195826_lcl_NODE_5_length_638838_cov_68.9705_ID_2404_c196785_195826_ORF4639_NODE_5_length_638838_cov_68.9705_ID_2404_196784_195825	K17743
Cyberlindnera_fabianii_JCM3601_x_gi_1002316264_dbj_BCGI01000006.1_426394_427353_gi_1002316264_dbj_BCGI01000006.1_426394_427353_ORF902_1002316264_426393_427352	K17743
Cyberlindnera_jadinii_x_lcl_scaffold_11_c192621_191620_lcl_scaffold_11_c192621_191620_ORF5321_scaffold_11_192620_191619	K17743
Cyberlindnera_jadinii_x_lcl_scaffold_4_c697303_696314_lcl_scaffold_4_c697303_696314_ORF7263_scaffold_4_697302_696313	K17743
Cyberlindnera_maclurae_35699_x_lcl_NODE_354_length_544_cov_0.709602_ID_22069_c539_3_lcl_NODE_354_length_544_cov_0.709602_ID_22069_c539_3_ORF7_NODE_354_length_544_cov_0.709602_ID_22069_538_2	K17743
Cyberlindnera_maclurae_35699_x_lcl_NODE_37_length_94963_cov_100.632_ID_9415_5450_6409_lcl_NODE_37_length_94963_cov_100.632_ID_9415_5450_6409_ORF242_NODE_37_length_94963_cov_100.632_ID_9415_5449_6408	K17743
Cyberlindnera_misumaiensis_34979_x_lcl_flattened_line_117_4664_5623_lcl_flattened_line_117_4664_5623_ORF116_flattened_line_117_4663_5622	K17743
Cyberlindnera_misumaiensis_34979_x_lcl_flattened_line_67_62049_63008_lcl_flattened_line_67_62049_63008_ORF558_flattened_line_67_62048_63007	K17743
Cyberlindnera_mrakii_34978_x_lcl_NODE_26_length_168686_cov_11.8876_ID_51_c58201_57242_lcl_NODE_26_length_168686_cov_11.8876_ID_51_c58201_57242_ORF1694_NODE_26_length_168686_cov_11.8876_ID_51_58200_57241	K17743
Cyberlindnera_petersonii_35325_x_lcl_NODE_49_length_82912_cov_18.4145_ID_37510_c27366_26407_lcl_NODE_49_length_82912_cov_18.4145_ID_37510_c27366_26407_ORF858_NODE_49_length_82912_cov_18.4145_ID_37510_27365_26406	K17743
Cyberlindnera_saturnus_35686_x_lcl_flattened_line_15_c83952_82993_lcl_flattened_line_15_c83952_82993_ORF3307_flattened_line_15_83951_82992	K17743
Cyberlindnera_suaveolens_35687_x_lcl_NODE_20_length_190154_cov_15.6774_ID_5534_c83501_82473_lcl_NODE_20_length_190154_cov_15.6774_ID_5534_c83501_82473_ORF1468_NODE_20_length_190154_cov_15.6774_ID_5534_83500_82472	K17743
Cyberlindnera_xylosilytica_35688_x_lcl_flattened_line_40_c126075_125116_lcl_flattened_line_40_c126075_125116_ORF2322_flattened_line_40_126074_125115	K17743
Danielozyma_ontarioensis_34973_x_lcl_NODE_10_length_329645_cov_33.732_ID_19_c180173_179157_lcl_NODE_10_length_329645_cov_33.732_ID_19_c180173_179157_ORF2502_NODE_10_length_329645_cov_33.732_ID_19_180172_179156	K17743
Debaryomyces_fabryi_41829_x_lcl_NODE_2_length_1055133_cov_10.9579_ID_2135_c784099_783146_lcl_NODE_2_length_1055133_cov_10.9579_ID_2135_c784099_783146_ORF9417_NODE_2_length_1055133_cov_10.9579_ID_2135_784098_783145	K17743
Debaryomyces_hansenii_x_lcl_Deha2F_c1120531_1119578_lcl_Deha2F_c1120531_1119578_ORF21451_Deha2F_1120530_1119577	K17743
Debaryomyces_maramus_41713_x_lcl_NODE_1_length_1879612_cov_25.5025_ID_1371_1132485_1133438_lcl_NODE_1_length_1879612_cov_25.5025_ID_1371_1132485_1133438_ORF8546_NODE_1_length_1879612_cov_25.5025_ID_1371_1132484_1133437	K17743
Debaryomyces_nepalensis_41693_x_lcl_NODE_3_length_1003114_cov_11.7128_ID_1650_257626_258588_lcl_NODE_3_length_1003114_cov_11.7128_ID_1650_257626_258588_ORF470_NODE_3_length_1003114_cov_11.7128_ID_1650_257625_258587	K17743
Debaryomyces_prosopidis_41678_x_lcl_flattened_line_21_c92999_92046_lcl_flattened_line_21_c92999_92046_ORF2862_flattened_line_21_92998_92045	K17743
Debaryomyces_subglobosus_41824_x_lcl_NODE_3_length_1038804_cov_12.7237_ID_1581_263005_263958_lcl_NODE_3_length_1038804_cov_12.7237_ID_1581_263005_263958_ORF438_NODE_3_length_1038804_cov_12.7237_ID_1581_263004_263957	K17743
Dekkera_bruxellensis_x_lcl_scaffold_9_395474_396448_lcl_scaffold_9_395474_396448_ORF1545_scaffold_9_395473_396447	K17743
Eremothecium_coryli_x_lcl_AZAH01000002.1_957411_958400_lcl_AZAH01000002.1_957411_958400_ORF5929_AZAH01000002.1_957410_958399	K17743
