PU#	Ship	Species	Row	Col
37923	8	Ascoidea tarda 	A	6
37924	8	Candida taliae 	A	7
37925	8	Candida aglyptinia 	A	8
37926	8	Candida alai	A	9
37927	8	Candida apicola 	A	10
37928	8	Candida argentea	A	11
37929	8	Candida auris	A	12
37917	8	Candida blattariae	B	1
37916	8	Candida carvajalis	B	2
37915	8	Candida catenulata	B	3
37914	8	Candida conglobata	B	4
37913	8	Candida cylindracea	B	5
37912	8	Candida dendronema	B	6
26073	8	Candida easanensis	B	7
37910	8	Candida ecuadorensis	B	8
37909	8	Candida eppingiae	B	9
37908	8	Candida fukazawae	B	10
37907	8	Candida fungicola	B	11
37906	8	Candida glucosophila	B	12
37894	8	Candida hasegawae	C	1
37895	8	Candida jaroonii	C	2
37896	8	Candida kanchanaburiensis	C	3
37897	8	Candida kazuoi	C	4
37898	8	Candida kofuensis	C	5
37899	8	Candida koratica	C	6
37900	8	Candida labiduridarum	C	7
37901	8	Candida membranifaciens	C	8
37902	8	Candida michaelii	C	9
37903	8	Candida multigemmis	C	10
37904	8	Candida nakhonratchasimensis	C	11
37905	8	Candida odintsovae 	C	12
37893	8	Candida ovalis 	D	1
37892	8	Candida pallodes 	D	2
37891	8	Candida picachoensis	D	3
37890	8	Candida pimensis	D	4
37889	8	Candida pseudofarinosa	D	5
37888	8	Candida quercuum 	D	6
37887	8	Candida rugosa	D	7
37886	8	Candida sagamina 	D	8
37885	8	Candida sake	D	9
37884	8	Candida sithepensis	D	10
37883	8	Candida sorbosivorans	D	11
37882	8	Candida sorboxylosa	D	12
37870	8	Candida sp. 	E	1
37871	8	Candida trypodendroni	E	2
37872	8	Cyberlindnera euphorbiiphila	E	3
37873	8	Debaryomyces udenii	E	4
37874	8	Dipodascus aggregatus	E	5
37875	8	Geotrichum carabidarum	E	6
37876	8	Geotrichum fermentans	E	7
26072	8	Geotrichum klebahnii	E	8
37878	8	Lipomyces kononenkoae	E	9
37879	8	Lipomyces spencer-martinsiae	E	10
37880	8	Magnusiomyces ovetensis	E	11
37881	8	Martiniozyma asiatica 	E	12
37869	8	Metschnikowia australis	F	1
37868	8	Metschnikowia bicuspidata var. californica	F	2
37867	8	Metschnikowia fructicola	F	3
37866	8	Metschnikowia lachancei	F	4
37865	8	Metschnikowia reukaufii	F	5
37864	8	Metschnikowia viticola	F	6
37863	8	Metschnikowia zobellii	F	7
37862	8	Nakazawaea anatomiae	F	8
37861	8	Ogataea allantospora	F	9
37860	8	Ogataea corticis	F	10
37859	8	Ogataea nakhonphanomensis	F	11
37858	8	Ogataea paradorogensis	F	12
37846	8	Pichia barkeri 	G	1
37847	8	Pichia cephalocereana 	G	2
37848	8	Saccharomycopsis babjevae	G	3
37849	8	Saccharomycopsis fodiens	G	4
37850	8	Saprochaete saccharophila	G	5
37851	8	Saturnispora ahearnii 	G	6
37852	8	Scheffersomyces cryptocercus	G	7
37853	8	Scheffersomyces illinoinensis	G	8
37854	8	Scheffersomyces insectosa	G	9
37855	8	Scheffersomyces lignosus	G	10
37856	8	Scheffersomyces quercinus	G	11
37857	8	Scheffersomyces spartiniae	G	12
37845	8	Scheffersomyces virginianus	H	1
37844	8	Schwanniomyces vanrijiae var. vanrijiae	H	2
37843	8	Schwanniomyces yamadae	H	3
37842	8	Starmera caribaea 	H	4
37841	8	Sugiyamaella floridensis	H	5
37840	8	Sugiyamaella lignohabitans	H	6
37839	8	Sugiyamaella marionensis	H	7
37838	8	Sugiyamaella pinicola	H	8
37837	8	Vanderwaltozyma verrucispora	H	9
37836	8	Zygosaccharomyces pseudorouxii	H	10
37835	8	Zygosaccharomyces favi	H	11
37834	8	Zygosaccharomyces parabailii  	H	12
38398	9	Barnettozyma siamensis	A	1
38399	9	Brettanomyces nanus	A	2
38400	9	Candida alishanica 	A	3
38401	9	Candida allociferrii	A	4
38402	9	Candida andamanensis	A	5
38403	9	Candida awuaii	A	6
38404	9	Candida bambusicola	A	7
38405	9	Candida baotianensis	A	8
38406	9	Candida berkhoutiae	A	9
38407	9	Candida blackwelliae	A	10
38408	9	Candida borneonana	A	11
38409	9	Candida broadrunensis	A	12
38397	9	Candida chanthaburiensis	B	1
38396	9	Candida dajiaensis	B	2
38395	9	Candida danieliae	B	3
38394	9	Candida davenportii 	B	4
38393	9	Candida diospyri	B	5
38392	9	Candida ecuadorensis	B	6
38391	9	Candida eppingiae	B	7
38390	9	Candida ezoensis	B	8
38389	9	Candida ficus	B	9
38388	9	Candida inconspicua 	B	10
38387	9	Candida inulinophila 	B	11
38386	9	Candida jianshihensis	B	12
38374	9	Candida jiufengensis	C	1
38375	9	Candida khmerensis	C	2
38376	9	Candida konsanensis	C	3
38377	9	Candida kutaonensis	C	4
38378	9	Candida laemsonensis	C	5
38379	9	Candida lidongshanica	C	6
38380	9	Candida loeiensis	C	7
38381	9	Candida manassasensis	C	8
38382	9	Candida mesorugosa	C	9
38383	9	Candida middelhoveniana	C	10
38384	9	Candida molendinolei	C	11
38385	9	Candida namnaoensis	C	12
38373	9	Candida nongkhaiensis	D	1
38372	9	Candida oleophila	D	2
38371	9	Candida oxycetoniae	D	3
38370	9	Candida phyllophila	D	4
38369	9	Candida prachuapensis	D	5
38368	9	Candida pseudoflosculorum	D	6
38367	9	Candida pseudojiufengensis	D	7
26054	9	Candida pseudorugosa	D	8
38365	9	Candida qingdaonensis	D	9
38364	9	Candida qinlingensis	D	10
38363	9	Candida ratchasimensis	D	11
38362	9	Candida sakaeoensis	D	12
38350	9	Candida sanyaensis	E	1
38351	9	Candida sanyiensis	E	2
38352	9	Candida sergipensis 	E	3
38353	9	Candida smagusa	E	4
38354	9	Candida succicola	E	5
38355	9	Candida suratensis	E	6
38356	9	Candida thailandica	E	7
38357	9	Candida theae	E	8
38358	9	Candida tilneyi 	E	9
38359	9	Candida touchengensis	E	10
38360	9	Candida verbasci	E	11
38361	9	Candida versatilis 	E	12
38349	9	Candida viswanathii	F	1
38348	9	Candida vitiphila	F	2
38347	9	Candida yuanshanica	F	3
38346	9	Cyberlindnera rhodanensis	F	4
38345	9	Cyberlindnera veronae	F	5
38344	9	Debaryomyces singareniensis	F	6
38343	9	Dipodascus australiensis	F	7
38342	9	Dipodascus macrosporus	F	8
38341	9	Geotrichum bryndzae	F	9
38340	9	Geotrichum ghanensis	F	10
38339	9	Geotrichum phurueaensis	F	11
38338	9	Geotrichum restrictum	F	12
26068	9	Kregervanrija pseudodelftensis 	G	1
38327	9	Magnusiomyces spicifer	G	2
38328	9	Metschnikowia henanensis	G	3
38329	9	Metschnikowia koreensis	G	4
38330	9	Metschnikowia laotica	G	5
38331	9	Metschnikowia lopburiensis 	G	6
38332	9	Metschnikowia saccharicola 	G	7
38333	9	Ogataea chonburiensis	G	8
38334	9	Ogataea ganodermae	G	9
38335	9	Pichia cactophila 	G	10
38336	9	Pichia sp. 	G	11
38337	9	Saccharomyces uvarum	G	12
38325	9	Saturnispora sanitii 	H	1
38324	9	Scheffersomyces gosingicus	H	2
38323	9	Scheffersomyces lignicola	H	3
38322	9	Schwanniomyces polymorphus var. africanus	H	4
38321	9	Sugiyamaella marilandica	H	5
38320	9	Teunomyces funiuensis 	H	6
38319	9	Teunomyces panamensis  	H	7
38318	9	Teunomyces stri  	H	8
38317	9	Tortispora sangerardonensis 	H	9
38316	9	Wickerhamomyces chaumierensis	H	10
38315	9	Wickerhamomyces tratensis	H	11
38314	9	Yamadazyma mexicana 	H	12
38110	10	Ambrosiozyma wuzhishanensis	A	1
38111	10	Barnettozyma sucrosica	A	2
38112	10	Barnettozyma vustinii	A	3
38113	10	Candida adriatica	A	4
38114	10	Candida anutae	A	5
38115	10	Candida aurita	A	6
38116	10	Candida azymoides	A	7
26052	10	Candida buinensis	A	8
38118	10	Candida cabralensis	A	9
38119	10	Candida coquimbonensis	A	10
38120	10	Candida haemulonii	A	11
38121	10	Candida hungchunana	A	12
38109	10	Candida kaohsiungensis	B	1
38108	10	Candida khao-thaluensis	B	2
38107	10	Candida khaoyaiensis	B	3
38106	10	Candida lignosa	B	4
38105	10	Candida maesa	B	5
38104	10	Candida mattranensis	B	6
38103	10	Candida melibiosica	B	7
38102	10	Candida mengyuniae	B	8
38101	10	Candida mucifera	B	9
38100	10	Candida musiphila	B	10
38099	10	Candida nonsorbophila	B	11
38098	10	Candida oceani	B	12
38086	10	Candida palmyrensis	C	1
38087	10	Candida phayaonensis	C	2
38088	10	Candida potachaoreniae 	C	3
38089	10	Candida pseudoaaseri	C	4
38090	10	Candida pseudocylindracea	C	5
38091	10	Candida pseudolambica 	C	6
26056	10	Candida railenensis 	C	7
38093	10	Candida rishiriensis	C	8
38094	10	Candida sirachaensis	C	9
26071	10	Candida songkhlaensis	C	10
38096	10	Candida sorbophila 	C	11
38097	10	Candida sp. 	C	12
38085	10	Candida sp. 	D	1
38084	10	Candida stauntonica	D	2
38083	10	Candida subhashii	D	3
38082	10	Candida suecica	D	4
38081	10	Candida takata	D	5
38080	10	Candida tallmaniae	D	6
38079	10	Candida tanticharoeniae	D	7
38078	10	Candida taoyuanica	D	8
38077	10	Candida thaimueangensis 	D	9
38076	10	Candida tumulicola	D	10
38075	10	Candida ulmi 	D	11
38074	10	Candida vaughaniae	D	12
38062	10	Candida wangnamkhiaoensis	E	1
38063	10	Candida xylanilytica	E	2
36579	10	Candida xyloterini	E	3
36545	10	Candida zemplinina 	E	4
38066	10	Clavispora reshetovae	E	5
38067	10	Cyberlindnera bimundalis	E	6
38068	10	Cyberlindnera samutprakarnensis	E	7
38069	10	Diutina neorugosa	E	8
38070	10	Diutina ranongensis	E	9
38071	10	Diutina scorzettiae	E	10
26055	10	Diutina siamensis	E	11
38073	10	Geotrichum europaeum	E	12
38061	10	Hyphopichia pseudoburtonii	F	1
38060	10	Kodamaea kakaduensis 	F	2
38059	10	Nadsonia commutata 	F	3
38058	10	Nakazawaea siamensis	F	4
38057	10	Ogataea falcaomoraisii	F	5
38056	10	Ogataea neopini 	F	6
38055	10	Pichia insulana	F	7
38054	10	Pichia siamensis	F	8
38053	10	Pichia sp. 	F	9
38052	10	Saccharomycopsis guyanensis	F	10
38051	10	Saccharomycopsis malanga 	F	11
38050	10	Saccharomycopsis olivae	F	12
38038	10	Saturnispora quitensis 	G	1
38039	10	Scheffersomyces parashehatae	G	2
38040	10	Scheffersomyces xylosifermentans	G	3
38041	10	Suhomyces yuchorum 	G	4
38042	10	Wickerhamiella allomyrinae	G	5
38043	10	Wickerhamiella cachassae	G	6
38044	10	Wickerhamiella dulcicola	G	7
38045	10	Wickerhamiella goesii	G	8
38046	10	Wickerhamiella siamensis	G	9
38047	10	Wickerhamiella slavikovae	G	10
38048	10	Wickerhamomyces mucosus	G	11
38049	10	Wickerhamomyces xylosica	G	12
38037	10	Yamadazyma akitaensis 	H	1
38036	10	Yamadazyma dushanensis	H	2
26050	10	Yamadazyma endophytica	H	3
38034	10	Yamadazyma epiphylla	H	4
38033	10	Yamadazyma insecticola	H	5
38032	10	Yamadazyma kitorensis	H	6
38031	10	Yamadazyma olivae	H	7
38030	10	Yamadazyma phyllophila	H	8
38029	10	Yamadazyma siamensis	H	9
38028	10	Yamadazyma takamatsuzukensis	H	10
38027	10	Yamadazyma terventina	H	11
38026	10	Yamadazyma ubonensis	H	12
40990	11	Kazachstania bovina 	A	1
40991	11	Kazachstania heterogenica	A	2
40992	11	Kazachstania pintolopesii	A	3
40993	11	Kazachstania telluris	A	4
40994	11	Kazachstania martiniae	A	5
40995	11	Kazachstania unispora	A	6
40996	11	Kazachstania turicensis	A	7
40997	11	Kazachstania bromeliacearum	A	8
40998	11	Kazachstania africana	A	9
40999	11	Kazachstania lodderae	A	10
41000	11	Kazachstania naganishii	A	11
41001	11	Kazachstania humatica	A	12
40989	11	Kazachstania zonata	B	1
40988	11	Kazachstania gamospora	B	2
40987	11	Kazachstania siamensis	B	3
40986	11	Kazachstania jiainica	B	4
40985	11	Kazachstania hellenica	B	5
40984	11	Candida nonsorbophila	B	6
40983	11	Kazachstania taianensis	B	7
40982	11	Kazachstania intestinalis	B	8
40981	11	Yamadazyma mexicana	B	9
40980	11	Kazachstania exigua	B	10
40979	11	Kazachstania servazzii	B	11
40978	11	Candida humilis	B	12
40966	11	Kazachstania rosinii	C	1
40967	11	Kazachstania transvaalensis	C	2
40968	11	Kazachstania spencerorum	C	3
40969	11	Kazachstania piceae	C	4
40970	11	Kazachstania bulderi	C	5
40971	11	Kazachstania viticola	C	6
40972	11	Kazachstania solicola	C	7
40973	11	Kazachstania kunashirensis	C	8
40974	11	Kazachstania sinensis	C	9
40975	11	Kazachstania barnettii	C	10
40976	11	Ogataea parapolymorpha	C	11
40977	11	Kazachstania aerobia	C	12
40965	11	Kazachstania aquatica	D	1
40964	11	Kazachstania yakushimaensis	D	2
40963	11	Lachancea quebecuensis	D	3
40962	11	Kazachstania slooffiae	D	4
40961	11	Kazachstania turicensis	D	5
40960	11	Blastobotrys sp.	D	6
40959	11	Metschnikowia aberdeeniae	D	7
40958	11	Metschnikowia andauensis	D	8
40957	11	Metschnikowia arizonensis	D	9
40956	11	Metschnikowia borealis	D	10
40955	11	Metschnikowia bowlesiae	D	11
40954	11	Metschnikowia cerradonensis	D	12
40942	11	Metschnikowia colocasiae	E	1
40943	11	Metschnikowia continentalis	E	2
40944	11	Metschnikowia cubensis	E	3
40945	11	Metschnikowia dekortorum	E	4
40946	11	Metschnikowia drakensbergensis 	E	5
40947	11	Metschnikowia gruessii	E	6
40948	11	Metschnikowia hamakuensis	E	7
40949	11	Metschnikowia hawaiiensis	E	8
40950	11	Metschnikowia hibisci	E	9
40951	11	Metschnikowia ipomoeae	E	10
40952	11	Metschnikowia kamakouana	E	11
40953	11	Metschnikowia kipukae	E	12
40941	11	Metschnikowia lochheadii	F	1
40940	11	Metschnikowia matae var. matae	F	2
40795	11	Metschnikowia matae var. maris	F	3
40938	11	Metschnikowia mauinuiana	F	4
40937	11	Metschnikowia proteae	F	5
40936	11	Metschnikowia santaceciliae	F	6
40935	11	Metschnikowia shivogae	F	7
40934	11	Metschnikowia similis	F	8
40933	11	Candida diddensiae	F	9
40932	11	Candida flosculorum 	F	10
40931	11	Candida galis	F	11
40930	11	Candida hsintzibuensis	F	12
40918	11	Candida insectamans	G	1
40919	11	Candida konsanensis	G	2
40920	11	Candida lactis-condensi	G	3
40921	11	Candida lessepsii	G	4
40922	11	Candida lundiana	G	5
40923	11	Candida parazyma	G	6
40924	11	Candida powellii	G	7
40925	11	Candida robnettiae	G	8
40776	11	Candida sphagnicola	G	9
40927	11	Candida stigmatis	G	10
40928	11	Candida suthepensis	G	11
40929	11	Galactomyces pseudocandidus	G	12
40917	11	Geotrichum citri-aurantii	H	1
40916	11	Geotrichum fermentans	H	2
40915	11	Geotrichum siamensis	H	3
40914	11	Millerozyma miso	H	4
40913	11	Pichia manshurica	H	5
40912	11	Saturnispora halmiae	H	6
40911	11	Saturnispora sekii	H	7
40910	11	Suhomyces kilbournensis	H	8
40909	11	Suhomyces sequanensis	H	9
40908	11	Yamadazyma paraphyllophila	H	10
40907	11	Zygoascus polysorbophila	H	11
40906	11	Zygoascus tannicolus	H	12
